prompt,label,distractor,condition_sentence,condition_distractor,condition_question,distractor_value,subject_value,question_center
"The banker that the barber praised climbed the mountain just outside of town before it snowed. Therefore, the [MASK] climbed the mountain.",banker,barber,subject_extracted,definite_description,matrix_verb,The barber,The banker,subject
"The banker that you praised climbed the mountain just outside of town before it snowed. Therefore, the [MASK] climbed the mountain.",banker,you,subject_extracted,indexical_pronoun,matrix_verb,You,The banker,subject
"The banker that Sue praised climbed the mountain just outside of town before it snowed. Therefore, the [MASK] climbed the mountain.",banker,Sue,subject_extracted,name,matrix_verb,Sue,The banker,subject
"The banker that the barber praised climbed the mountain just outside of town before it snowed. Therefore, the [MASK] praised the banker.",barber,banker,subject_extracted,definite_description,embedded_verb,The barber,The banker,distractor
"The banker that you praised climbed the mountain just outside of town before it snowed. Therefore, [MASK] praised the banker.",you,banker,subject_extracted,indexical_pronoun,embedded_verb,You,The banker,distractor
"The banker that Sue praised climbed the mountain just outside of town before it snowed. Therefore, [MASK] praised the banker.",Sue,banker,subject_extracted,name,embedded_verb,Sue,The banker,distractor
"The banker that praised the barber climbed the mountain just outside of town before it snowed. Therefore, the [MASK] climbed the mountain.",banker,barber,object_extracted,definite_description,matrix_verb,The barber,The banker,subject
"The banker that praised you climbed the mountain just outside of town before it snowed. Therefore, the [MASK] climbed the mountain.",banker,you,object_extracted,indexical_pronoun,matrix_verb,You,The banker,subject
"The banker that praised Sue climbed the mountain just outside of town before it snowed. Therefore, the [MASK] climbed the mountain.",banker,Sue,object_extracted,name,matrix_verb,Sue,The banker,subject
"The banker that praised the barber climbed the mountain just outside of town before it snowed. Therefore, the [MASK] praised the barber.",banker,barber,object_extracted,definite_description,embedded_verb,The barber,The banker,subject
"The banker that praised you climbed the mountain just outside of town before it snowed. Therefore, the [MASK] praised you.",banker,you,object_extracted,indexical_pronoun,embedded_verb,You,The banker,subject
"The banker that praised Sue climbed the mountain just outside of town before it snowed. Therefore, the [MASK] praised Sue.",banker,Sue,object_extracted,name,embedded_verb,Sue,The banker,subject
"The dancer that the reporter phoned cooked the pork chops in their own juices on New Year's Eve. Therefore, the [MASK] cooked the pork chops.",dancer,reporter,subject_extracted,definite_description,matrix_verb,The reporter,The dancer,subject
"The dancer that you phoned cooked the pork chops in their own juices on New Year's Eve. Therefore, the [MASK] cooked the pork chops.",dancer,you,subject_extracted,indexical_pronoun,matrix_verb,You,The dancer,subject
"The dancer that Ann phoned cooked the pork chops in their own juices on New Year's Eve. Therefore, the [MASK] cooked the pork chops.",dancer,Ann,subject_extracted,name,matrix_verb,Ann,The dancer,subject
"The dancer that the reporter phoned cooked the pork chops in their own juices on New Year's Eve. Therefore, the [MASK] phoned the dancer.",reporter,dancer,subject_extracted,definite_description,embedded_verb,The reporter,The dancer,distractor
"The dancer that you phoned cooked the pork chops in their own juices on New Year's Eve. Therefore, [MASK] phoned the dancer.",you,dancer,subject_extracted,indexical_pronoun,embedded_verb,You,The dancer,distractor
"The dancer that Ann phoned cooked the pork chops in their own juices on New Year's Eve. Therefore, [MASK] phoned the dancer.",Ann,dancer,subject_extracted,name,embedded_verb,Ann,The dancer,distractor
"The dancer that phoned the reporter cooked the pork chops in their own juices on New Year's Eve. Therefore, the [MASK] cooked the pork chops.",dancer,reporter,object_extracted,definite_description,matrix_verb,The reporter,The dancer,subject
"The dancer that phoned you cooked the pork chops in their own juices on New Year's Eve. Therefore, the [MASK] cooked the pork chops.",dancer,you,object_extracted,indexical_pronoun,matrix_verb,You,The dancer,subject
"The dancer that phoned Ann cooked the pork chops in their own juices on New Year's Eve. Therefore, the [MASK] cooked the pork chops.",dancer,Ann,object_extracted,name,matrix_verb,Ann,The dancer,subject
"The dancer that phoned the reporter cooked the pork chops in their own juices on New Year's Eve. Therefore, the [MASK] phoned the reporter.",dancer,reporter,object_extracted,definite_description,embedded_verb,The reporter,The dancer,subject
"The dancer that phoned you cooked the pork chops in their own juices on New Year's Eve. Therefore, the [MASK] phoned you.",dancer,you,object_extracted,indexical_pronoun,embedded_verb,You,The dancer,subject
"The dancer that phoned Ann cooked the pork chops in their own juices on New Year's Eve. Therefore, the [MASK] phoned Ann.",dancer,Ann,object_extracted,name,embedded_verb,Ann,The dancer,subject
"The architect that the fireman liked dominated the conversation while the game was on television. Therefore, the [MASK] dominated the conversation.",architect,fireman,subject_extracted,definite_description,matrix_verb,The fireman,The architect,subject
"The architect that you liked dominated the conversation while the game was on television. Therefore, the [MASK] dominated the conversation.",architect,you,subject_extracted,indexical_pronoun,matrix_verb,You,The architect,subject
"The architect that Wes liked dominated the conversation while the game was on television. Therefore, the [MASK] dominated the conversation.",architect,Wes,subject_extracted,name,matrix_verb,Wes,The architect,subject
"The architect that the fireman liked dominated the conversation while the game was on television. Therefore, the [MASK] liked the architect.",fireman,architect,subject_extracted,definite_description,embedded_verb,The fireman,The architect,distractor
"The architect that you liked dominated the conversation while the game was on television. Therefore, [MASK] liked the architect.",you,architect,subject_extracted,indexical_pronoun,embedded_verb,You,The architect,distractor
"The architect that Wes liked dominated the conversation while the game was on television. Therefore, [MASK] liked the architect.",Wes,architect,subject_extracted,name,embedded_verb,Wes,The architect,distractor
"The architect that liked the fireman dominated the conversation while the game was on television. Therefore, the [MASK] dominated the conversation.",architect,fireman,object_extracted,definite_description,matrix_verb,The fireman,The architect,subject
"The architect that liked you dominated the conversation while the game was on television. Therefore, the [MASK] dominated the conversation.",architect,you,object_extracted,indexical_pronoun,matrix_verb,You,The architect,subject
"The architect that liked Wes dominated the conversation while the game was on television. Therefore, the [MASK] dominated the conversation.",architect,Wes,object_extracted,name,matrix_verb,Wes,The architect,subject
"The architect that liked the fireman dominated the conversation while the game was on television. Therefore, the [MASK] liked the fireman.",architect,fireman,object_extracted,definite_description,embedded_verb,The fireman,The architect,subject
"The architect that liked you dominated the conversation while the game was on television. Therefore, the [MASK] liked you.",architect,you,object_extracted,indexical_pronoun,embedded_verb,You,The architect,subject
"The architect that liked Wes dominated the conversation while the game was on television. Therefore, the [MASK] liked Wes.",architect,Wes,object_extracted,name,embedded_verb,Wes,The architect,subject
"The waiter that the broker despised drove the sports car home from work that evening. Therefore, the [MASK] drove the sports car home.",waiter,broker,subject_extracted,definite_description,matrix_verb,The broker,The waiter,subject
"The waiter that you despised drove the sports car home from work that evening. Therefore, the [MASK] drove the sports car home.",waiter,you,subject_extracted,indexical_pronoun,matrix_verb,You,The waiter,subject
"The waiter that Jan despised drove the sports car home from work that evening. Therefore, the [MASK] drove the sports car home.",waiter,Jan,subject_extracted,name,matrix_verb,Jan,The waiter,subject
"The waiter that the broker despised drove the sports car home from work that evening. Therefore, the [MASK] despised the waiter.",broker,waiter,subject_extracted,definite_description,embedded_verb,The broker,The waiter,distractor
"The waiter that you despised drove the sports car home from work that evening. Therefore, [MASK] despised the waiter.",you,waiter,subject_extracted,indexical_pronoun,embedded_verb,You,The waiter,distractor
"The waiter that Jan despised drove the sports car home from work that evening. Therefore, [MASK] despised the waiter.",Jan,waiter,subject_extracted,name,embedded_verb,Jan,The waiter,distractor
"The waiter that despised the broker drove the sports car home from work that evening. Therefore, the [MASK] drove the sports car home.",waiter,broker,object_extracted,definite_description,matrix_verb,The broker,The waiter,subject
"The waiter that despised you drove the sports car home from work that evening. Therefore, the [MASK] drove the sports car home.",waiter,you,object_extracted,indexical_pronoun,matrix_verb,You,The waiter,subject
"The waiter that despised Jan drove the sports car home from work that evening. Therefore, the [MASK] drove the sports car home.",waiter,Jan,object_extracted,name,matrix_verb,Jan,The waiter,subject
"The waiter that despised the broker drove the sports car home from work that evening. Therefore, the [MASK] despised the broker.",waiter,broker,object_extracted,definite_description,embedded_verb,The broker,The waiter,subject
"The waiter that despised you drove the sports car home from work that evening. Therefore, the [MASK] despised you.",waiter,you,object_extracted,indexical_pronoun,embedded_verb,You,The waiter,subject
"The waiter that despised Jan drove the sports car home from work that evening. Therefore, the [MASK] despised Jan.",waiter,Jan,object_extracted,name,embedded_verb,Jan,The waiter,subject
"The detective that the secretary disliked clipped the coupons out with the dull scissors. Therefore, the [MASK] clipped the coupons out.",detective,secretary,subject_extracted,definite_description,matrix_verb,The secretary,The detective,subject
"The detective that you disliked clipped the coupons out with the dull scissors. Therefore, the [MASK] clipped the coupons out.",detective,you,subject_extracted,indexical_pronoun,matrix_verb,You,The detective,subject
"The detective that Ted disliked clipped the coupons out with the dull scissors. Therefore, the [MASK] clipped the coupons out.",detective,Ted,subject_extracted,name,matrix_verb,Ted,The detective,subject
"The detective that the secretary disliked clipped the coupons out with the dull scissors. Therefore, the [MASK] disliked the detective.",secretary,detective,subject_extracted,definite_description,embedded_verb,The secretary,The detective,distractor
"The detective that you disliked clipped the coupons out with the dull scissors. Therefore, [MASK] disliked the detective.",you,detective,subject_extracted,indexical_pronoun,embedded_verb,You,The detective,distractor
"The detective that Ted disliked clipped the coupons out with the dull scissors. Therefore, [MASK] disliked the detective.",Ted,detective,subject_extracted,name,embedded_verb,Ted,The detective,distractor
"The detective that disliked the secretary clipped the coupons out with the dull scissors. Therefore, the [MASK] clipped the coupons out.",detective,secretary,object_extracted,definite_description,matrix_verb,The secretary,The detective,subject
"The detective that disliked you clipped the coupons out with the dull scissors. Therefore, the [MASK] clipped the coupons out.",detective,you,object_extracted,indexical_pronoun,matrix_verb,You,The detective,subject
"The detective that disliked Ted clipped the coupons out with the dull scissors. Therefore, the [MASK] clipped the coupons out.",detective,Ted,object_extracted,name,matrix_verb,Ted,The detective,subject
"The detective that disliked the secretary clipped the coupons out with the dull scissors. Therefore, the [MASK] disliked the secretary.",detective,secretary,object_extracted,definite_description,embedded_verb,The secretary,The detective,subject
"The detective that disliked you clipped the coupons out with the dull scissors. Therefore, the [MASK] disliked you.",detective,you,object_extracted,indexical_pronoun,embedded_verb,You,The detective,subject
"The detective that disliked Ted clipped the coupons out with the dull scissors. Therefore, the [MASK] disliked Ted.",detective,Ted,object_extracted,name,embedded_verb,Ted,The detective,subject
"The judge that the doctor ignored watched the special about Colombian drug dealers on the nightly news. Therefore, the [MASK] watched the special about Colombian drug dealers.",judge,doctor,subject_extracted,definite_description,matrix_verb,The doctor,The judge,subject
"The judge that you ignored watched the special about Colombian drug dealers on the nightly news. Therefore, the [MASK] watched the special about Colombian drug dealers.",judge,you,subject_extracted,indexical_pronoun,matrix_verb,You,The judge,subject
"The judge that Tom ignored watched the special about Colombian drug dealers on the nightly news. Therefore, the [MASK] watched the special about Colombian drug dealers.",judge,Tom,subject_extracted,name,matrix_verb,Tom,The judge,subject
"The judge that the doctor ignored watched the special about Colombian drug dealers on the nightly news. Therefore, the [MASK] ignored the judge.",doctor,judge,subject_extracted,definite_description,embedded_verb,The doctor,The judge,distractor
"The judge that you ignored watched the special about Colombian drug dealers on the nightly news. Therefore, [MASK] ignored the judge.",you,judge,subject_extracted,indexical_pronoun,embedded_verb,You,The judge,distractor
"The judge that Tom ignored watched the special about Colombian drug dealers on the nightly news. Therefore, [MASK] ignored the judge.",Tom,judge,subject_extracted,name,embedded_verb,Tom,The judge,distractor
"The judge that ignored the doctor watched the special about Colombian drug dealers on the nightly news. Therefore, the [MASK] watched the special about Colombian drug dealers.",judge,doctor,object_extracted,definite_description,matrix_verb,The doctor,The judge,subject
"The judge that ignored you watched the special about Colombian drug dealers on the nightly news. Therefore, the [MASK] watched the special about Colombian drug dealers.",judge,you,object_extracted,indexical_pronoun,matrix_verb,You,The judge,subject
"The judge that ignored Tom watched the special about Colombian drug dealers on the nightly news. Therefore, the [MASK] watched the special about Colombian drug dealers.",judge,Tom,object_extracted,name,matrix_verb,Tom,The judge,subject
"The judge that ignored the doctor watched the special about Colombian drug dealers on the nightly news. Therefore, the [MASK] ignored the doctor.",judge,doctor,object_extracted,definite_description,embedded_verb,The doctor,The judge,subject
"The judge that ignored you watched the special about Colombian drug dealers on the nightly news. Therefore, the [MASK] ignored you.",judge,you,object_extracted,indexical_pronoun,embedded_verb,You,The judge,subject
"The judge that ignored Tom watched the special about Colombian drug dealers on the nightly news. Therefore, the [MASK] ignored Tom.",judge,Tom,object_extracted,name,embedded_verb,Tom,The judge,subject
"The robber that the mailman insulted read the newspaper article about the fire. Therefore, the [MASK] read the newspaper article.",robber,mailman,subject_extracted,definite_description,matrix_verb,The mailman,The robber,subject
"The robber that you insulted read the newspaper article about the fire. Therefore, the [MASK] read the newspaper article.",robber,you,subject_extracted,indexical_pronoun,matrix_verb,You,The robber,subject
"The robber that Sam insulted read the newspaper article about the fire. Therefore, the [MASK] read the newspaper article.",robber,Sam,subject_extracted,name,matrix_verb,Sam,The robber,subject
"The robber that the mailman insulted read the newspaper article about the fire. Therefore, the [MASK] insulted the robber.",mailman,robber,subject_extracted,definite_description,embedded_verb,The mailman,The robber,distractor
"The robber that you insulted read the newspaper article about the fire. Therefore, [MASK] insulted the robber.",you,robber,subject_extracted,indexical_pronoun,embedded_verb,You,The robber,distractor
"The robber that Sam insulted read the newspaper article about the fire. Therefore, [MASK] insulted the robber.",Sam,robber,subject_extracted,name,embedded_verb,Sam,The robber,distractor
"The robber that insulted the mailman read the newspaper article about the fire. Therefore, the [MASK] read the newspaper article.",robber,mailman,object_extracted,definite_description,matrix_verb,The mailman,The robber,subject
"The robber that insulted you read the newspaper article about the fire. Therefore, the [MASK] read the newspaper article.",robber,you,object_extracted,indexical_pronoun,matrix_verb,You,The robber,subject
"The robber that insulted Sam read the newspaper article about the fire. Therefore, the [MASK] read the newspaper article.",robber,Sam,object_extracted,name,matrix_verb,Sam,The robber,subject
"The robber that insulted the mailman read the newspaper article about the fire. Therefore, the [MASK] insulted the mailman.",robber,mailman,object_extracted,definite_description,embedded_verb,The mailman,The robber,subject
"The robber that insulted you read the newspaper article about the fire. Therefore, the [MASK] insulted you.",robber,you,object_extracted,indexical_pronoun,embedded_verb,You,The robber,subject
"The robber that insulted Sam read the newspaper article about the fire. Therefore, the [MASK] insulted Sam.",robber,Sam,object_extracted,name,embedded_verb,Sam,The robber,subject
"The governor that the comedian admired answered the telephone in the fancy restaurant. Therefore, the [MASK] answered the telephone.",governor,comedian,subject_extracted,definite_description,matrix_verb,The comedian,The governor,subject
"The governor that you admired answered the telephone in the fancy restaurant. Therefore, the [MASK] answered the telephone.",governor,you,subject_extracted,indexical_pronoun,matrix_verb,You,The governor,subject
"The governor that Kay admired answered the telephone in the fancy restaurant. Therefore, the [MASK] answered the telephone.",governor,Kay,subject_extracted,name,matrix_verb,Kay,The governor,subject
"The governor that the comedian admired answered the telephone in the fancy restaurant. Therefore, the [MASK] admired the governor.",comedian,governor,subject_extracted,definite_description,embedded_verb,The comedian,The governor,distractor
"The governor that you admired answered the telephone in the fancy restaurant. Therefore, [MASK] admired the governor.",you,governor,subject_extracted,indexical_pronoun,embedded_verb,You,The governor,distractor
"The governor that Kay admired answered the telephone in the fancy restaurant. Therefore, [MASK] admired the governor.",Kay,governor,subject_extracted,name,embedded_verb,Kay,The governor,distractor
"The governor that admired the comedian answered the telephone in the fancy restaurant. Therefore, the [MASK] answered the telephone.",governor,comedian,object_extracted,definite_description,matrix_verb,The comedian,The governor,subject
"The governor that admired you answered the telephone in the fancy restaurant. Therefore, the [MASK] answered the telephone.",governor,you,object_extracted,indexical_pronoun,matrix_verb,You,The governor,subject
"The governor that admired Kay answered the telephone in the fancy restaurant. Therefore, the [MASK] answered the telephone.",governor,Kay,object_extracted,name,matrix_verb,Kay,The governor,subject
"The governor that admired the comedian answered the telephone in the fancy restaurant. Therefore, the [MASK] admired the comedian.",governor,comedian,object_extracted,definite_description,embedded_verb,The comedian,The governor,subject
"The governor that admired you answered the telephone in the fancy restaurant. Therefore, the [MASK] admired you.",governor,you,object_extracted,indexical_pronoun,embedded_verb,You,The governor,subject
"The governor that admired Kay answered the telephone in the fancy restaurant. Therefore, the [MASK] admired Kay.",governor,Kay,object_extracted,name,embedded_verb,Kay,The governor,subject
"The actor that the director thanked worked in many hit movies before 1990. Therefore, the [MASK] worked in many hit movies.",actor,director,subject_extracted,definite_description,matrix_verb,The director,The actor,subject
"The actor that you thanked worked in many hit movies before 1990. Therefore, the [MASK] worked in many hit movies.",actor,you,subject_extracted,indexical_pronoun,matrix_verb,You,The actor,subject
"The actor that Fay thanked worked in many hit movies before 1990. Therefore, the [MASK] worked in many hit movies.",actor,Fay,subject_extracted,name,matrix_verb,Fay,The actor,subject
"The actor that the director thanked worked in many hit movies before 1990. Therefore, the [MASK] thanked the actor.",director,actor,subject_extracted,definite_description,embedded_verb,The director,The actor,distractor
"The actor that you thanked worked in many hit movies before 1990. Therefore, [MASK] thanked the actor.",you,actor,subject_extracted,indexical_pronoun,embedded_verb,You,The actor,distractor
"The actor that Fay thanked worked in many hit movies before 1990. Therefore, [MASK] thanked the actor.",Fay,actor,subject_extracted,name,embedded_verb,Fay,The actor,distractor
"The actor that thanked the director worked in many hit movies before 1990. Therefore, the [MASK] worked in many hit movies.",actor,director,object_extracted,definite_description,matrix_verb,The director,The actor,subject
"The actor that thanked you worked in many hit movies before 1990. Therefore, the [MASK] worked in many hit movies.",actor,you,object_extracted,indexical_pronoun,matrix_verb,You,The actor,subject
"The actor that thanked Fay worked in many hit movies before 1990. Therefore, the [MASK] worked in many hit movies.",actor,Fay,object_extracted,name,matrix_verb,Fay,The actor,subject
"The actor that thanked the director worked in many hit movies before 1990. Therefore, the [MASK] thanked the director.",actor,director,object_extracted,definite_description,embedded_verb,The director,The actor,subject
"The actor that thanked you worked in many hit movies before 1990. Therefore, the [MASK] thanked you.",actor,you,object_extracted,indexical_pronoun,embedded_verb,You,The actor,subject
"The actor that thanked Fay worked in many hit movies before 1990. Therefore, the [MASK] thanked Fay.",actor,Fay,object_extracted,name,embedded_verb,Fay,The actor,subject
"The poet that the painter inspired wrote an autobiography after their friendship became well known. Therefore, the [MASK] wrote an autobiography.",poet,painter,subject_extracted,definite_description,matrix_verb,The painter,The poet,subject
"The poet that you inspired wrote an autobiography after their friendship became well known. Therefore, the [MASK] wrote an autobiography.",poet,you,subject_extracted,indexical_pronoun,matrix_verb,You,The poet,subject
"The poet that Ben inspired wrote an autobiography after their friendship became well known. Therefore, the [MASK] wrote an autobiography.",poet,Ben,subject_extracted,name,matrix_verb,Ben,The poet,subject
"The poet that the painter inspired wrote an autobiography after their friendship became well known. Therefore, the [MASK] inspired the poet.",painter,poet,subject_extracted,definite_description,embedded_verb,The painter,The poet,distractor
"The poet that you inspired wrote an autobiography after their friendship became well known. Therefore, [MASK] inspired the poet.",you,poet,subject_extracted,indexical_pronoun,embedded_verb,You,The poet,distractor
"The poet that Ben inspired wrote an autobiography after their friendship became well known. Therefore, [MASK] inspired the poet.",Ben,poet,subject_extracted,name,embedded_verb,Ben,The poet,distractor
"The poet that inspired the painter wrote an autobiography after their friendship became well known. Therefore, the [MASK] wrote an autobiography.",poet,painter,object_extracted,definite_description,matrix_verb,The painter,The poet,subject
"The poet that inspired you wrote an autobiography after their friendship became well known. Therefore, the [MASK] wrote an autobiography.",poet,you,object_extracted,indexical_pronoun,matrix_verb,You,The poet,subject
"The poet that inspired Ben wrote an autobiography after their friendship became well known. Therefore, the [MASK] wrote an autobiography.",poet,Ben,object_extracted,name,matrix_verb,Ben,The poet,subject
"The poet that inspired the painter wrote an autobiography after their friendship became well known. Therefore, the [MASK] inspired the painter.",poet,painter,object_extracted,definite_description,embedded_verb,The painter,The poet,subject
"The poet that inspired you wrote an autobiography after their friendship became well known. Therefore, the [MASK] inspired you.",poet,you,object_extracted,indexical_pronoun,embedded_verb,You,The poet,subject
"The poet that inspired Ben wrote an autobiography after their friendship became well known. Therefore, the [MASK] inspired Ben.",poet,Ben,object_extracted,name,embedded_verb,Ben,The poet,subject
"The chef that the cashier distrusted called for help after the restaurant closed. Therefore, the [MASK] called for help.",chef,cashier,subject_extracted,definite_description,matrix_verb,The cashier,The chef,subject
"The chef that you distrusted called for help after the restaurant closed. Therefore, the [MASK] called for help.",chef,you,subject_extracted,indexical_pronoun,matrix_verb,You,The chef,subject
"The chef that Joe distrusted called for help after the restaurant closed. Therefore, the [MASK] called for help.",chef,Joe,subject_extracted,name,matrix_verb,Joe,The chef,subject
"The chef that the cashier distrusted called for help after the restaurant closed. Therefore, the [MASK] distrusted the chef.",cashier,chef,subject_extracted,definite_description,embedded_verb,The cashier,The chef,distractor
"The chef that you distrusted called for help after the restaurant closed. Therefore, [MASK] distrusted the chef.",you,chef,subject_extracted,indexical_pronoun,embedded_verb,You,The chef,distractor
"The chef that Joe distrusted called for help after the restaurant closed. Therefore, [MASK] distrusted the chef.",Joe,chef,subject_extracted,name,embedded_verb,Joe,The chef,distractor
"The chef that distrusted the cashier called for help after the restaurant closed. Therefore, the [MASK] called for help.",chef,cashier,object_extracted,definite_description,matrix_verb,The cashier,The chef,subject
"The chef that distrusted you called for help after the restaurant closed. Therefore, the [MASK] called for help.",chef,you,object_extracted,indexical_pronoun,matrix_verb,You,The chef,subject
"The chef that distrusted Joe called for help after the restaurant closed. Therefore, the [MASK] called for help.",chef,Joe,object_extracted,name,matrix_verb,Joe,The chef,subject
"The chef that distrusted the cashier called for help after the restaurant closed. Therefore, the [MASK] distrusted the cashier.",chef,cashier,object_extracted,definite_description,embedded_verb,The cashier,The chef,subject
"The chef that distrusted you called for help after the restaurant closed. Therefore, the [MASK] distrusted you.",chef,you,object_extracted,indexical_pronoun,embedded_verb,You,The chef,subject
"The chef that distrusted Joe called for help after the restaurant closed. Therefore, the [MASK] distrusted Joe.",chef,Joe,object_extracted,name,embedded_verb,Joe,The chef,subject
"The aunt that the child amused made paper dolls out of the newspaper. Therefore, the [MASK] made paper dolls.",aunt,child,subject_extracted,definite_description,matrix_verb,The child,The aunt,subject
"The aunt that you amused made paper dolls out of the newspaper. Therefore, the [MASK] made paper dolls.",aunt,you,subject_extracted,indexical_pronoun,matrix_verb,You,The aunt,subject
"The aunt that Kim amused made paper dolls out of the newspaper. Therefore, the [MASK] made paper dolls.",aunt,Kim,subject_extracted,name,matrix_verb,Kim,The aunt,subject
"The aunt that the child amused made paper dolls out of the newspaper. Therefore, the [MASK] amused the aunt.",child,aunt,subject_extracted,definite_description,embedded_verb,The child,The aunt,distractor
"The aunt that you amused made paper dolls out of the newspaper. Therefore, [MASK] amused the aunt.",you,aunt,subject_extracted,indexical_pronoun,embedded_verb,You,The aunt,distractor
"The aunt that Kim amused made paper dolls out of the newspaper. Therefore, [MASK] amused the aunt.",Kim,aunt,subject_extracted,name,embedded_verb,Kim,The aunt,distractor
