prompt,label1,label2,distractor1,distractor2,length,plural_match
"The tourist hired the guides that the locals angered due to a misunderstanding. Therefore, the locals angered the [MASK]",guides,guides,tourist,tourist,short,mismatch
"The tourists hired the guides that the locals angered due to a misunderstanding. Therefore, the locals angered the [MASK]",guides,guides,tourists,tourists,short,match
"The tourist hired the guides that two days ago the locals from the nearby village angered due to a misunderstanding. Therefore, the locals angered the [MASK]",guides,guides,tourist,tourist,long,mismatch
"The tourists hired the guides who two days ago the locals from the nearby village angered due to a misunderstanding. Therefore, the locals angered the [MASK]",guides,guides,tourists,tourists,long,match
"The coach removed the gymnasts that the fans disrespected because of the recent losses. Therefore, the fans disrespected the [MASK]",gymnasts,gymnasts,coach,coach,short,mismatch
"The coaches removed the gymnasts that the fans disrespected because of the recent losses. Therefore, the fans disrespected the [MASK]",gymnasts,gymnasts,coaches,coaches,short,match
"The coach removed the gymnasts that last week the loud and disappointed fans disrespected because of the recent losses. Therefore, the fans disrespected the [MASK]",gymnasts,gymnasts,coach,coach,long,mismatch
"The coaches removed the gymnasts that last week the loud and disappointed fans disrespected because of the recent losses. Therefore, the fans disrespected the [MASK]",gymnasts,gymnasts,coaches,coaches,long,match
"The agent discovered the producers that the musicians excited following the success of the album. Therefore, the musicians excited the [MASK]",producers,producers,agent,agent,short,mismatch
"The agents discovered the producers that the musicians excited following the success of the album. Therefore, the musicians excited the [MASK]",producers,producers,agents,agents,short,match
"The agent discovered the producers that a month ago the talented and friendly musicians excited following the success of the album. Therefore, the musicians excited the [MASK]",producers,producers,agent,agent,long,mismatch
"The agents discovered the producers that a month ago the talented and friendly musicians excited following the success of the album. Therefore, the musicians excited the [MASK]",producers,producers,agents,agents,long,match
"The policeman hid the suspects that the criminals threatened after the publicized arrest. Therefore, the criminals threatened the [MASK]",suspects,suspects,policeman,policeman,short,mismatch
"The policemen hid the suspects that the criminals threatened after the publicized arrest. Therefore, the criminals threatened the [MASK]",suspects,suspects,policemen,policemen,short,match
"The policeman hid the suspects that the criminals from the underworld threatened the previous month after the publicized arrest. Therefore, the criminals threatened the [MASK]",suspects,suspects,policeman,policeman,long,mismatch
"The policemen hid the suspects that the criminals from the underworld threatened the previous month after the publicized arrest. Therefore, the criminals threatened the [MASK]",suspects,suspects,policemen,policemen,long,match
"The inspector will interrogate the wardens that the prisoners abused at the beginning of the official position. Therefore, the prisoners abused the [MASK]",wardens,wardens,inspector,inspector,short,mismatch
"The inspectors will interrogate the wardens that the prisoners abused at the beginning of the official position. Therefore, the prisoners abused the [MASK]",wardens,wardens,inspectors,inspectors,short,match
"The inspector will investigate the wardens that last year the most violent prisoners abused at the beginning of the official position. Therefore, the prisoners abused the [MASK]",wardens,wardens,inspector,inspector,long,mismatch
"The inspectors will investigate the wardens that last year the most violent prisoners abused at the beginning of the official position. Therefore, the prisoners abused the [MASK]",wardens,wardens,inspectors,inspectors,long,match
"The singer met the stars that the fans cared for during the long absence. Therefore, the fans cared for the [MASK]",stars,stars,singer,singer,short,mismatch
"The singers met the stars that the fans cared for during the long absence. Therefore, the fans cared for the [MASK]",stars,stars,singers,singers,short,match
"The singer met the stars that loyal and devoted fans cared for in recent months during the long absence. Therefore, the fans cared for the [MASK]",stars,stars,singer,singer,long,mismatch
"The singers met the stars that loyal and devoted fans cared for in recent months during the long absence. Therefore, the fans cared for the [MASK]",stars,stars,singers,singers,long,match
"The medic interrogated the doctors that the injured people needed following the car accident. Therefore, the wounded needed the [MASK]",doctors,doctors,medic,medic,short,mismatch
"The medics interrogated the doctors that the injured people needed following the car accident. Therefore, the wounded needed the [MASK]",doctors,doctors,medics,medics,short,match
"The medic interrogated the doctors that the injured people needed following yesterday evening car accident. Therefore, the wounded needed the [MASK]",doctors,doctors,medic,medic,long,mismatch
"The medics interrogated the doctors that the injured people needed following yesterday evening car accident. Therefore, the wounded needed the [MASK]",doctors,doctors,medics,medics,long,match
"The teacher failed the girls that the students ignored since the annual trip. Therefore, the students ignored the [MASK]",girls,girls,teacher,teacher,short,mismatch
"The teachers failed the girls that the students ignored since the annual trip. Therefore, the students ignored the [MASK]",girls,girls,teachers,teachers,short,match
"The teacher failed the girls that the popular and arrogant students ignored for the past month since the annual trip. Therefore, the students ignored the [MASK]",girls,girls,teacher,teacher,long,mismatch
"The teachers failed the girls that the popular and arrogant students ignored for the past month since the annual trip. Therefore, the students ignored the [MASK]",girls,girls,teachers,teachers,long,match
"The president summoned the consultants that the lobbyists paid to promote the law. Therefore, the lobbyists paid the [MASK]",consultants,consultants,president,president,short,mismatch
"The presidents summoned the consultants that the lobbyists paid to promote the law. Therefore, the lobbyists paid the [MASK]",consultants,consultants,presidents,presidents,short,match
"The president summoned the consultants that last year the organization's lobbyists paid to promote the law. Therefore, the lobbyists paid the [MASK]",consultants,consultants,president,president,long,mismatch
"The presidents summoned the consultants that last year the organization's lobbyists paid to promote the law. Therefore, the lobbyists paid the [MASK]",consultants,consultants,presidents,presidents,long,match
"The director sketched the actresses that the extras watched during the extended scene. Therefore, the extras watched the [MASK]",actresses,actresses,director,director,short,mismatch
"The directors sketched the actresses that the extras watched during the extended scene. Therefore, the extras watched the [MASK]",actresses,actresses,directors,directors,short,match
"The director sketched the actresses that two days ago the young and excited extras watched during the extended scene. Therefore, the extras watched the [MASK]",actresses,actresses,director,director,long,mismatch
"The directors sketched the actresses that two days ago the young and excited extras watched during the extended scene. Therefore, the extras watched the [MASK]",actresses,actresses,directors,directors,long,match
"The detective located the smugglers that the assistants helped for a high fee. Therefore, the assistants helped the [MASK]",smugglers,smugglers,detective,detective,short,mismatch
"The detectives located the smugglers that the assistants helped for a high fee. Therefore, the assistants helped the [MASK]",smugglers,smugglers,detectives,detectives,short,match
"The detective located the smugglers that two weeks ago the smart and agile assistants helped for a high fee. Therefore, the assistants helped the [MASK]",smugglers,smugglers,detective,detective,long,mismatch
"The detectives located the smugglers that two weeks ago the smart and agile assistants helped for a high fee. Therefore, the assistants helped the [MASK]",smugglers,smugglers,detectives,detectives,long,match
"The manager knew the cashiers that the customers heard during the busy shift. Therefore, the customers heard the [MASK]",cashiers,cashiers,manager,manager,short,mismatch
"The managers knew the cashiers that the customers heard during the busy shift. Therefore, the customers heard the [MASK]",cashiers,cashiers,managers,managers,short,match
"The manager knew the cashiers that yesterday morning the demanding and opinionated customers heard during the busy shift. Therefore, the customers heard the [MASK]",cashiers,cashiers,manager,manager,long,mismatch
"The managers knew the cashiers that yesterday morning the demanding and opinionated customers heard  during the busy shift. Therefore, the customers heard the [MASK]",cashiers,cashiers,managers,managers,long,match
"The ambassador appreciated the interpreters that the representatives supported despite the expected difficulties. Therefore, the representatives supported the [MASK]",interpreters,interpreters,ambassador,ambassador,short,mismatch
"The ambassadors appreciated the interpreters that the representatives supported despite the expected difficulties. Therefore, the representatives supported the [MASK]",interpreters,interpreters,ambassadors,ambassadors,short,match
"The ambassador appreciated the interpreters that last week the moderate representatives at the conference supported despite the expected difficulties. Therefore, the representatives supported the [MASK]",interpreters,interpreters,ambassador,ambassador,long,mismatch
"The ambassadors appreciated the interpreters that last week the moderate representatives at the conference supported despite the expected difficulties. Therefore, the representatives supported the [MASK]",interpreters,interpreters,ambassadors,ambassadors,long,match
"The defense attorney accompanied the accused ones that the jurors disliked in light of the accumulated evidence. Therefore, the jurors disliked the [MASK]",accused,ones,defense,attorney,short,mismatch
"The defense attorneys accompanied the accused ones that the jurors disliked in light of the accumulated evidence. Therefore, the jurors disliked the [MASK]",accused,ones,defense,attorneys,short,match
"The defense attorney accompanied the accused ones that two weeks ago the older and conservative jurors disliked in light of the accumulated evidence. Therefore, the jurors disliked the [MASK]",accused,ones,defense,attorney,long,mismatch
"The defense attorneys accompanied the accused ones that two weeks ago the older and conservative jurors disliked in light of the accumulated evidence. Therefore, the jurors disliked the [MASK]",accused,ones,defense,attorneys,long,match
"The choreographer recognized the dancers that cast members mocked during the first audition. Therefore, the cast mocked the [MASK]",dancers,dancers,choreographer,choreographer,short,mismatch
"The choreographers recognized the dancers that cast members mocked during the first audition. Therefore, the cast mocked the [MASK]",dancers,dancers,choreographers,choreographers,short,match
"The choreographer recognized the dancers that last year's arrogant cast members mocked during the first audition. Therefore, the cast mocked the [MASK]",dancers,dancers,choreographer,choreographer,long,mismatch
"The choreographers recognized the dancers that last year's arrogant cast members mocked during the first audition. Therefore, the cast mocked the [MASK]",dancers,dancers,choreographers,choreographers,long,match
"The king nurtured the princesses that the subjects rebelled against during the transition of power. Therefore, the subjects rebelled against the [MASK]",princesses,princesses,king,king,short,mismatch
"The kings nurtured the princesses that the subjects rebelled against during the transition of power. Therefore, the subjects rebelled against the [MASK]",princesses,princesses,kings,kings,short,match
"The king nurtured the princesses that a year ago the poor and unfortunate subjects rebelled against during the transition of power. Therefore, the subjects rebelled against the [MASK]",princesses,princesses,king,king,long,mismatch
"The kings nurtured the princesses that a year ago the poor and unfortunate subjects rebelled against during the transition of power. Therefore, the subjects rebelled against the [MASK]",princesses,princesses,kings,kings,long,match
"The tenant hosted the old women that the neighbors gossiped about at the last building meeting. Therefore, the neighbors gossiped about the [MASK]",old,women,tenant,tenant,short,mismatch
"The tenants hosted the old women that the neighbors gossiped about at the last building meeting. Therefore, the neighbors gossiped about the [MASK]",old,women,tenants,tenants,short,match
"The tenant hosted the old women that last week the rude neighbors gossiped about at the last building meeting. Therefore, the neighbors gossiped about the [MASK]",old,women,tenant,tenant,long,mismatch
"The tenants hosted the old women that last week the rude neighbors gossiped about at the last building meeting. Therefore, the neighbors gossiped about the [MASK]",old,women,tenants,tenants,long,match
"The dealer advertised the painters that the collectors looked at during the gallery visit. Therefore, the collectors looked at the [MASK]",painters,painters,dealer,dealer,short,mismatch
"The dealers advertised the painters that the collectors looked at during the gallery visit. Therefore, the collectors looked at the [MASK]",painters,painters,dealers,dealers,short,match
"The dealer advertised the painters that a month ago the rich and mysterious collectors looked at during the visit to the gallery. Therefore, the collectors looked at the [MASK]",painters,painters,dealer,dealer,long,mismatch
"The dealers advertised the painters that a month ago the rich and mysterious collectors looked at during the visit to the gallery. Therefore, the collectors looked at the [MASK]",painters,painters,dealers,dealers,long,match
"The officer trained the sergeants that the recruits feared during the long drills. Therefore, the rookies feared the [MASK]",sergeants,sergeants,officer,officer,short,mismatch
"The officers trained the sergeants that the recruits feared during the long drills. Therefore, the rookies feared the [MASK]",sergeants,sergeants,officers,officers,short,match
"The officer trained the sergeants that for the past month the confused and tired rookies feared during the long drills. Therefore, the rookies feared the [MASK]",sergeants,sergeants,officer,officer,long,mismatch
"The officers trained the sergeants that for the past month the confused and tired rookies feared during the long drills. Therefore, the rookies feared the [MASK]",sergeants,sergeants,officers,officers,long,match
"The photographer chose the sergeants that the designers harassed after the magazine interview. Therefore, the designers harassed the [MASK]",models,models,photographer,photographer,short,mismatch
"The photographers chose the models that the designers harassed after the magazine interview. Therefore, the designers harassed the [MASK]",models,models,photographers,photographers,short,match
"The photographer chose the models that in recent months the most respected designers harassed after the interview for the magazine. Therefore, the designers harassed the [MASK]",models,models,photographer,photographer,long,mismatch
"The photographers chose the models that in recent months the most respected designers harassed after the interview for the magazine. Therefore, the designers harassed the [MASK]",models,models,photographers,photographers,long,match
"The presenter despised the reporters that superiors impressed by their extraordinary professionalism. Therefore, the seniors impressed the [MASK]",reporters,reporters,presenter,presenter,short,mismatch
"The presenters despised the reporters that superiors impressed by their extraordinary professionalism. Therefore, the seniors impressed the [MASK]",reporters,reporters,presenters,presenters,short,match
"The presenter despised the reporters that last year's executives at the central channel impressed thanks to their extraordinary professionalism. Therefore, the seniors impressed the [MASK]",reporters,reporters,presenter,presenter,long,mismatch
"The presenters despised the reporters that last year's executives at the central channel impressed thanks to their extraordinary professionalism. Therefore, the seniors impressed the [MASK]",reporters,reporters,presenters,presenters,long,match
"The cook liked the waitresses that the diners complimented at the end of the impressive event. Therefore, the diners complimented the [MASK]",waitresses,waitresses,cook,cook,short,mismatch
"The cooks liked the waitresses that the diners complimented at the end of the impressive event. Therefore, the diners complimented the [MASK]",waitresses,waitresses,cooks,cooks,short,match
"The cook liked the waitresses that yesterday evening the seventy satisfied diners complimented at the end of the impressive event. Therefore, the diners complimented the [MASK]",waitresses,waitresses,cook,cook,long,mismatch
"The cooks liked the waitresses that yesterday evening the seventy satisfied diners complimented at the end of the impressive event. Therefore, the diners complimented the [MASK]",waitresses,waitresses,cooks,cooks,long,match
"The pianist introduced the composers that the violinists admired during rehearsals for the concert. Therefore, the violinists admired the [MASK]",composers,composers,pianist,pianist,short,mismatch
"The pianists introduced the composers that the violinists admired during rehearsals for the concert. Therefore, the violinists admired the [MASK]",composers,composers,pianists,pianists,short,match
"The pianist introduced the composers who last month the old and famous violinists admired during rehearsals for the concert. Therefore, the violinists admired the [MASK]",composers,composers,pianist,pianist,long,mismatch
"The pianists introduced the composers who last month the old and famous violinists admired during rehearsals for the concert. Therefore, the violinists admired the [MASK]",composers,composers,pianists,pianists,long,match
"The inspector overtook the drivers that the motorcyclists escaped while the traffic light was changing. Therefore, the bikers escaped from the [MASK]",drivers,drivers,inspector,inspector,short,mismatch
"The inspectors overtook the drivers that the motorcyclists escaped while the traffic light was changing. Therefore, the bikers escaped from the [MASK]",drivers,drivers,inspectors,inspectors,short,match
"The inspector overtook the drivers who this morning the careless motorcyclists escaped while the traffic light was changing. Therefore, the bikers escaped from the [MASK]",drivers,drivers,inspector,inspector,long,mismatch
"The inspectors overtook the drivers who this morning the careless motorcyclists escaped while the traffic light was changing. Therefore, the bikers escaped from the [MASK]",drivers,drivers,inspectors,inspectors,long,match
"The referee disqualified the tennis players that the spectators approached at the end of the opening match. Therefore, the spectators approached the [MASK]",tennis,players,referee,referee,short,mismatch
"The referees disqualified the tennis players that the spectators approached at the end of the opening match. Therefore, the spectators approached the [MASK]",tennis,players,referees,referees,short,match
"The referee disqualified the tennis players who a week ago the spectators from the upper stand approached at the end of the opening match. Therefore, the spectators approached the [MASK]",tennis,players,referee,referee,long,mismatch
"The referees disqualified the tennis players who a week ago the spectators from the upper stand approached at the end of the opening match. Therefore, the spectators approached the [MASK]",tennis,players,referees,referees,long,match
"The clerk found the bank managers that the robbers shot before the police arrived on the scene. Therefore, the robbers shot the [MASK]",bank,managers,clerk,clerk,short,mismatch
"The clerks found the bank managers that the robbers shot before the police arrived on the scene. Therefore, the robbers shot the [MASK]",bank,managers,clerks,clerks,short,match
"The clerk found the bank managers that this morning the armed and dangerous robbers shot before the police arrived at the scene. Therefore, the robbers shot the [MASK]",bank,managers,clerk,clerk,long,mismatch
"The clerks found the bank managers that this morning the armed and dangerous robbers shot before the police arrived at the scene. Therefore, the robbers shot the [MASK]",bank,managers,clerks,clerks,long,match
"The architect hated the brokers that the tenants trusted in the process of writing the contract. Therefore, the tenants trusted the [MASK]",brokers,brokers,architect,architect,short,mismatch
"The architects hated the brokers that the tenants trusted in the process of writing the contract. Therefore, the tenants trusted the [MASK]",brokers,brokers,architects,architects,short,match
"The architect hated the brokers that last year the careful and experienced tenants trusted in the process of writing the contract. Therefore, the tenants trusted the [MASK]",brokers,brokers,architect,architect,long,mismatch
"The architects hated the brokers that last year the careful and experienced tenants trusted in the process of writing the contract. Therefore, the tenants trusted the [MASK]",brokers,brokers,architects,architects,long,match
"The practitioner saw the students that the lecturers advised during the difficult test. Therefore, the lecturers advised the [MASK]",students,students,practitioner,practitioner,short,mismatch
"The practitioners saw the students that the lecturers advised during the difficult test. Therefore, the lecturers advised the [MASK]",students,students,practitioners,practitioners,short,match
"The practitioner saw the students that two days ago the inexperienced lecturers advised during the difficult test. Therefore, the lecturers advised the [MASK]",students,students,practitioner,practitioner,long,mismatch
"The practitioners saw the students that two days ago the inexperienced lecturers advised during the difficult test. Therefore, the lecturers advised the [MASK]",students,students,practitioners,practitioners,long,match
"The diagnostician looked for the psychologists that the patients appreciated thanks to the personal attitude. Therefore, the patients appreciated the [MASK]",psychologists,psychologists,diagnostician,diagnostician,short,mismatch
"The diagnosticians looked for the psychologists that the patients appreciated thanks to the personal attitude. Therefore, the patients appreciated the [MASK]",psychologists,psychologists,diagnosticians,diagnosticians,short,match
"The diagnostician looked for the psychologists that in recent months the patients in the rehabilitation wing appreciated thanks to the personal attitude. Therefore, the patients appreciated the [MASK]",psychologists,psychologists,diagnostician,diagnostician,long,mismatch
"The diagnosticians looked for the psychologists that in recent months the patients in the rehabilitation wing appreciated thanks to the personal attitude. Therefore, the patients appreciated the [MASK]",psychologists,psychologists,diagnosticians,diagnosticians,long,match
"The broadcaster interviewed the swimmers that the competitors watched during the coverage of the results. Therefore, the competitors watched the [MASK]",swimmers,swimmers,broadcaster,broadcaster,short,mismatch
"The broadcasters interviewed the swimmers that the competitors watched during the coverage of the results. Therefore, the competitors watched the [MASK]",swimmers,swimmers,broadcasters,broadcasters,short,match
"The broadcaster interviewed the swimmers that last week the leading competitors in the world watched during the coverage of the results. Therefore, the competitors watched the [MASK]",swimmers,swimmers,broadcaster,broadcaster,long,mismatch
"The broadcasters interviewed the swimmers that last week the leading competitors in the world watched during the coverage of the results. Therefore, the competitors watched the [MASK]",swimmers,swimmers,broadcasters,broadcasters,long,match
"The editor censored the journalists that the readers influenced following the poignant article. Therefore, the readers influenced the [MASK]",journalists,journalists,editor,editor,short,mismatch
"The editors censored the journalists that the readers influenced following the poignant article. Therefore, the readers influenced the [MASK]",journalists,journalists,editors,editors,short,match
"The editor censored the journalists that last week's devout and educated readers influenced following the poignant article. Therefore, the readers influenced the [MASK]",journalists,journalists,editor,editor,long,mismatch
"The editors censored the journalists that last week's devout and educated readers influenced following the poignant article. Therefore, the readers influenced the [MASK]",journalists,journalists,editors,editors,long,match
"The donor bored the researchers that interns disturbed during the grant approval process. Therefore, the interns disturbed the [MASK]",researchers,researchers,donor,donor,short,mismatch
"The donors bored the researchers that interns disturbed during the grant approval process. Therefore, the interns disturbed the [MASK]",researchers,researchers,donors,donors,short,match
"The donor bored the researchers that last year the lazy and dependent interns disturbed during the grant approval process. Therefore, the interns disturbed the [MASK]",researchers,researchers,donor,donor,long,mismatch
"The donors bored the researchers that last year the lazy and dependent interns disturbed during the grant approval process. Therefore, the interns disturbed the [MASK]",researchers,researchers,donors,donors,long,match
